OID_,OriginID,DestinationID,PD,,,,,,,
226,1,1,0,,,,,,,
22,1,2,400,,,,,,,
39,1,3,200,,,,,,,
55,1,4,60,,,,,,,
69,1,5,80,,,,,,,
86,1,6,150,,,,,,,
164,1,7,75,,,,,,,
102,1,8,75,,,,,,,
147,1,9,30,,,,,,,
180,1,10,160,,,,,,,
195,1,11,30,,,,,,,
119,1,12,25,,,,,,,
210,1,13,35,,,,,,,
225,1,14,0,,,,,,,
132,1,15,0,,,,,,,
2,2,1,400,,,,,,,
227,2,2,0,,,,,,,
32,2,3,50,,,,,,,
47,2,4,120,,,,,,,
63,2,5,20,,,,,,,
81,2,6,180,,,,,,,
158,2,7,90,,,,,,,
97,2,8,90,,,,,,,
143,2,9,15,,,,,,,
176,2,10,130,,,,,,,
192,2,11,20,,,,,,,
109,2,12,10,,,,,,,
207,2,13,10,,,,,,,
222,2,14,5,,,,,,,
127,2,15,0,,,,,,,
3,3,1,200,,,,,,,
17,3,2,50,,,,,,,
228,3,3,0,,,,,,,
50,3,4,40,,,,,,,
64,3,5,60,,,,,,,
78,3,6,180,,,,,,,
156,3,7,90,,,,,,,
95,3,8,90,,,,,,,
141,3,9,15,,,,,,,
174,3,10,45,,,,,,,
190,3,11,20,,,,,,,
112,3,12,10,,,,,,,
205,3,13,10,,,,,,,
220,3,14,5,,,,,,,
125,3,15,0,,,,,,,
4,4,1,60,,,,,,,
18,4,2,120,,,,,,,
34,4,3,40,,,,,,,
229,4,4,0,,,,,,,
62,4,5,50,,,,,,,
80,4,6,100,,,,,,,
157,4,7,50,,,,,,,
96,4,8,50,,,,,,,
142,4,9,15,,,,,,,
175,4,10,240,,,,,,,
191,4,11,40,,,,,,,
107,4,12,25,,,,,,,
206,4,13,10,,,,,,,
221,4,14,5,,,,,,,
126,4,15,0,,,,,,,
6,5,1,80,,,,,,,
20,5,2,20,,,,,,,
37,5,3,60,,,,,,,
48,5,4,50,,,,,,,
230,5,5,0,,,,,,,
83,5,6,50,,,,,,,
161,5,7,25,,,,,,,
99,5,8,25,,,,,,,
145,5,9,10,,,,,,,
179,5,10,120,,,,,,,
194,5,11,20,,,,,,,
110,5,12,15,,,,,,,
209,5,13,5,,,,,,,
224,5,14,0,,,,,,,
130,5,15,0,,,,,,,
5,6,1,150,,,,,,,
19,6,2,180,,,,,,150,25
33,6,3,180,,,,,,180,10
49,6,4,100,,,,,,180,10
65,6,5,50,,,,,,100,25
231,6,6,0,,,,,,50,15
154,6,7,100,,,,,,0,15
92,6,8,100,,,,,,100,10
140,6,9,30,,,,,,100,10
172,6,10,880,,,,,,30,5
189,6,11,60,,,,,,880,250
111,6,12,15,,,,,,60,75
204,6,13,15,,,,,,15,0
219,6,14,10,,,,,,15,70
124,6,15,0,,,,,,10,0
9,7,1,75,,,,,,0,0
24,7,2,90,,,,,,,
38,7,3,90,,,,,,,
53,7,4,50,,,,,,,
68,7,5,25,,,,,,,
82,7,6,100,,,,,,,
232,7,7,0,,,,,,,
94,7,8,50,,,,,,,
139,7,9,15,,,,,,,
168,7,10,440,,,,,,,
186,7,11,35,,,,,,,
118,7,12,10,,,,,,,
201,7,13,10,,,,,,,
215,7,14,5,,,,,,,
123,7,15,0,,,,,,,
7,8,1,75,,,,,,,
21,8,2,90,,,,,,,
35,8,3,90,,,,,,,
51,8,4,50,,,,,,,
66,8,5,25,,,,,,,
77,8,6,100,,,,,,,
153,8,7,50,,,,,,,
233,8,8,0,,,,,,,
138,8,9,15,,,,,,,
169,8,10,440,,,,,,,
187,8,11,35,,,,,,,
115,8,12,10,,,,,,,
202,8,13,10,,,,,,,
216,8,14,5,,,,,,,
122,8,15,0,,,,,,,
12,9,1,30,,,,,,,
27,9,2,15,,,,,,,
41,9,3,15,,,,,,,
57,9,4,15,,,,,,,
72,9,5,10,,,,,,,
85,9,6,30,,,,,,,
159,9,7,15,,,,,,,
100,9,8,15,,,,,,,
234,9,9,0,,,,,,,
178,9,10,140,,,,,,,
193,9,11,20,,,,,,,
120,9,12,5,,,,,,,
208,9,13,0,,,,,,,
223,9,14,0,,,,,,,
128,9,15,0,,,,,,,
11,10,1,160,,,,160,0,,
26,10,2,130,,,,130,5,,
40,10,3,45,,,,45,5,,
56,10,4,240,,,,240,5,,
71,10,5,120,,,,120,0,,
84,10,6,880,,,,880,10,,
155,10,7,440,,,,440,5,,
98,10,8,440,,,,440,5,,
144,10,9,140,,,,140,0,,
235,10,10,0,,,,0,200,,
182,10,11,600,,,,600,15,,
113,10,12,250,,,,250,0,,
199,10,13,500,,,,500,45,,
214,10,14,200,,,,200,0,,
129,10,15,0,,,,0,0,,
13,11,1,30,,,,,,,
28,11,2,20,,,,,,,
43,11,3,20,,,,,,,
58,11,4,40,,,,,,,
73,11,5,20,,,,,,,
88,11,6,60,,,,,,,
160,11,7,35,,,,,,,
101,11,8,35,,,,,,,
146,11,9,20,,,,,,,
167,11,10,600,,,,,,,
236,11,11,0,,,,,,,
108,11,12,75,,,,,,,
198,11,13,95,,,,,,,
213,11,14,15,,,,,,,
131,11,15,0,,,,,,,
10,12,1,25,,,,,,,
25,12,2,10,,,,,,,
42,12,3,10,,,,,,,
54,12,4,25,,,,,,,
70,12,5,15,,,,,,,
87,12,6,15,,,,,,,
165,12,7,10,,,,,,,
103,12,8,10,,,,,,,
148,12,9,5,,,,,,,
177,12,10,250,,,,,,,
185,12,11,75,,,,,,,
237,12,12,0,,,,,,,
200,12,13,70,,,,,,,
217,12,14,0,,,,,,,
133,12,15,0,,,,,,,
15,13,1,35,,,,,,,
30,13,2,10,,,,,,,
45,13,3,10,,,,,,,
60,13,4,10,,,,,,,
75,13,5,5,,,,,,,
90,13,6,15,,,,,,,
163,13,7,10,,,,,,,
105,13,8,10,,,,,,,
150,13,9,0,,,,,,,
173,13,10,500,,,,,,,
183,13,11,95,,,,,,,
114,13,12,70,,,,,,,
238,13,13,0,,,,,,,
212,13,14,45,,,,,,,
135,13,15,0,,,,,,,
14,14,1,0,,,,,,,
29,14,2,5,,,,,,,
44,14,3,5,,,,,,,
59,14,4,5,,,,,,,
74,14,5,0,,,,,,,
89,14,6,10,,,,,,,
162,14,7,5,,,,,,,
104,14,8,5,,,,,,,
149,14,9,0,,,,,,,
170,14,10,200,,,,,,,
184,14,11,15,,,,,,,
117,14,12,0,,,,,,,
197,14,13,45,,,,,,,
239,14,14,0,,,,,,,
134,14,15,0,,,,,,,
8,15,1,0,,,,,,,
23,15,2,0,,,,,,,
36,15,3,0,,,,,,,
52,15,4,0,,,,,,,
67,15,5,0,,,,,,,
79,15,6,0,,,,,,,
152,15,7,0,,,,,,,
93,15,8,0,,,,,,,
137,15,9,0,,,,,,,
171,15,10,0,,,,,,,
188,15,11,0,,,,,,,
116,15,12,0,,,,,,,
203,15,13,0,,,,,,,
218,15,14,0,,,,,,,
240,15,15,0,,,,,,,
