FromNode,ToNode,TT
1,13,4
1,14,6
1,18,4
1,19,1
1,20,4
1,23,2
1,26,5
1,27,5
1,29,5
2,4,1
2,5,6
2,10,2
2,15,5
2,24,3
2,25,5
3,7,8
3,8,8
3,11,4
3,16,5
3,17,7
3,22,8
3,28,5
3,30,2
4,5,6
4,10,2
4,12,7
4,15,5
4,24,3
4,25,5
5,8,5
5,15,5
5,21,4
5,24,6
5,25,2
6,7,5
6,16,6
6,22,3
7,11,5
7,14,5
7,16,5
7,17,6
7,22,5
8,11,8
8,15,5
8,17,4
8,21,3
8,25,5
8,26,5
8,28,4
8,29,5
9,13,4
9,20,5
9,27,5
10,15,5
10,24,3
11,16,2
11,17,6
11,22,5
11,28,5
11,30,5
12,15,5
12,18,5
12,26,5
13,18,4
13,19,4
13,20,2
13,23,4
14,19,6
15,21,3
15,24,3
15,25,3
16,17,6
16,22,5
16,28,6
16,30,6
17,28,3
17,29,5
18,19,4
18,20,3
18,23,2
18,29,5
19,20,4
19,23,2
20,23,3
21,24,5
21,25,3
23,26,5
24,25,5
26,29,2
28,30,5
