GA,MA-Random,MA-Fixed,ISA-MA,MA-AOS
198721.09,185163.82,187335.36,184390,189122.8571
198721.09,187001.75,188382.86,184418.99,189396.6657
198721.09,189198.41,185443.49,184423.04,189848.4583
198721.09,189342.68,187702.61,184495.3,191799.0819
198721.09,187907.7,186157.22,184561.43,191398.3565
198721.09,185682.16,184495.36,184655.81,185721.4058
198721.09,184998.63,185080.21,184655.81,186407.9505
198721.09,188846.7,185426.92,184740.3,185951.5714
198721.09,187950.64,186252.65,184740.3,191365.8929
198721.09,185761.43,186120.95,184741.24,188669.8185
198721.09,185194.95,187930.51,184794.31,186028.8095
198721.09,184498.24,188382.86,184808.12,189572.8655
198721.09,185416.01,184655.81,184962.86,187815.2464
198721.09,188382.86,186479.19,184965.71,186561.3118
198721.09,189046.67,184740.3,185264,190381.9017
204223.49,184655.81,185321.83,185360.7,195267.388
204223.49,188382.86,184495.36,185364.06,187029.0179
204223.49,186420.12,185820.77,185364.06,188473.3121
204223.49,184965.71,189160.82,185364.06,190409.6032
204223.49,188088.84,187907.7,185607.14,190323.0769
204223.49,185959.25,186162.53,185728.94,186443.3212
204223.49,184753.92,185264,185820.77,186511.9335
204223.49,186943.6,184794.31,185834.02,194567.3815
204223.49,185080.21,187436.82,185842.61,188319.5936
206118.66,187907.7,184655.81,185991.38,185018.0357
206118.66,188419.09,187775.93,186011.6,187021.1418
206118.66,185080.21,187931.23,186067.72,185632.4424
206118.66,185163.82,187907.7,186246.24,190804.739
206118.66,184740.3,186264.46,186943.6,191693.3442
206118.66,188419.09,188382.86,187907.7,186654.7764
