GA,MA-Random,MA-Fixed,ISA-MA,MA-AOS,,,,,,,,,,,,
7368431.12,7058341.29,7079876.54,6912345.67,7011419.693,,,,,,,,,,,,
7281567.45,6899123.45,6930123.45,6923456.78,6985661.689,,,,,,,,,,,,
7349982.33,7215678.9,7201234.56,6934567.89,6989329.949,,,,,,,,,,,,
7381245.98,7011234.56,7025678.9,6901234.56,7022673.915,,,,,,,,,,,,
7290111.76,7345678.12,7310987.65,6945678.9,6977475.114,,,,,,,,,,,,
7335678.9,6954321.89,6987654.32,6928765.43,7004590.762,,,,,,,,,,,,
7275432.1,7150000,7180000,6939876.54,7048024.861,,,,,,,,,,,,
7395876.54,6850000,6880000,6918765.43,6936793.714,,,,,,,,,,,,
7310234.87,7250000,7280000,6942229.71,6961043,,,,,,,,,,,,
7299876.21,6900000,6910000,6938765.43,6948273.114,,,,,,,,,,,,
7360123.45,7049250.43,7070270.38,6920000,6928413.613,,,,,,,,,,,,
7288765.99,7049250.43,7070270.38,6930000,6866448.771,,,,,,,,,,,,
7345001.1,7080123.45,7100000,6940000,6949447.527,,,,,,,,,,,,7080729.702
7377654.32,7020345.67,7040000,6950000,7077514.919,,,,,,,,,,,,
7293456.78,7198765.43,7250000,6960000,7009810.055,,,,,,,,,,,,
7315000,6801234.56,6850000,6970000,7084586.889,,,,,,,,,,,175730.4825,
7327376.16,7423456.78,7380000,6890000,6883313.457,,,,,,,,,,,,
7340000,6754321.9,6790000,6915000,7042163.618,,,,,,,,,,,,
7305000,7100000,7120000,6925000,7069791.818,,,,,,,,,,,,
7355000,6990000,7010000,6935000,6876416.12,,,,,,,,,42382.79113,14452.33319,,7331687.337
7280000,7300000,7320000,6945000,7050465.153,,,,,,,,,,,,
7385000,6820000,6820000,6955000,6925536.904,,,,,,,,,,,,6928568.634
7295000,7065432.1,7088765.43,6985000,7017236.366,,,,,,,,,,145137.3719,,
7365000,7032109.87,7051234.56,7010000,7017174.553,,,,,,,,,,,,
7270000,7221098.76,7234567.89,7035000,7033096.502,,,,,,,,,,,,
7390000,6887654.32,6901234.56,7060000,6934585.639,,,,,,,,,,,,
7320000,7398765.43,7412345.67,6942229.71,6843983.466,,,,,,,,,,,,
7260000,6701234.56,6754321.89,6942229.71,6890068.843,,,,,,,,,,,,
7400000,7123456.78,7145678.9,6941000,7255122.647,,,,,,,,,,,,
7327376.16,6976543.21,6998765.43,6943000,6956383.451,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
